Attribute,CV terms,Definition
,"Illumina HiSeq 2000,OBI:0002001","A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and a throughput of up to 55 Gb per day. Built upon sequencing by synthesis technology, the machine is optimized for generation of data for multiple samples in a single run"
,"Illumina HiSeq 2500,OBI:0002002","A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and a throughput of up to 160 Gb per day. Built upon sequencing by synthesis technology, the machine is optimized for generation of data for batching multiple samples or rapid results on a few samples"
,"Illumina HiSeq 3000,OBI:0002048","A DNA sequencer manufactured by Illumina corporation, with a single flow cell and a throughput of more than 200 Gb per day"
,"Illumina HiSeq 4000,OBI:0002049","A DNA sequencer manufactured by Illumina corporation, with two flow cell and a throughput of more than 400 Gb per day"
,"Illumina HiSeq X Ten,OBI:0002129",A DNA sequencer that consists of a set of 10 HiSeq X Sequencing Systems
,Illumina HiSeq X Five,"A DNA sequencer manufactured by Illumina corporation, which uses proven Illumina sequencing by synthesis (SBS) chemistry. It consists of 5 individual HiSeq X instruments, which together can sequence over 9000 genomes per year."
,"Illumina MiniSeq,OBI:0003114","A small benchtop DNA sequencer which is manufactured by the Illumina corporation with integrated cluster generation, sequencing and data analysis. The sequencer accommodates various flow cell configurations and can produce up to 25M single reads or 50M paired-end reads per run"
,Illumina iSeq 100,"A DNA sequencer manufactured by the Illumina corporation, with a minimum output of 1.2 Gb of data per run in 19 hours. It is ideal for small whole-genome sequencing (eg, bacteria, viruses, plasmids), targeted sequencing of a set of genes or gene regions, gene expression analysis, or 16S metagenomics. It allows greater statistical confidence for calling variants or low-frequency alleles."
,"NextSeq 500,OBI:0002021","A DNA sequencer which is a desktop sequencer ideal for smaller-scale studies manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology"
,"NextSeq 550,OBI:0003387","A DNA sequencer manufactured by the Illumina corporation, which provides the increased flexibility of microarray scanning in addition to sequencing."
,"Illumina NextSeq 1000,OBI:0003606",A DNA sequencer which is manufactured by the Illumina corporation using sequence-by-synthesis chemistry that fits on a benchtop and uses P1 and P2 flow cells.
,Illumina NextSeq 2000,"A DNA sequencer manufactured by the Illumina corporation, which uses advancements in optics, instrument design, and 2-channel chemistry to increase output. It uses larger P3 flow cell, in addition to P1 and P2 flow cells, and thus, has higer throughput relative to NextSeq 1000 system. It is a scalable platform that supports more complex, informative studies and a broad range of standard NGS methods, as well as emerging techniques, including spatialomics."
,"Oxford Nanopore GridION Mk1,OBI:0002751","A DNA sequencer that is manufactured by the Oxford Nanopore Technologies corporation, that can run and analyze up to five individual flow cells producing up to 150 Gb of data per run. The sequencer produces real-time results and utilizes nanopore technology with the option of running the flow cells concurrently or individually"
,"Oxford Nanopore MinION,OBI:0002750","A portable DNA sequencer which is manufactured by the Oxford Nanopore Technologies corporation, that uses consumable flow cells producing up to 30 Gb of DNA sequence data per flow cell. The sequencer produces real-time results and utilizes nanopore technology with up to 512 nanopore channels in the sensor array"
,"Oxford Nanopore PromethION,OBI:0002752","A DNA sequencer that is manufactured by the Oxford Nanopore Technologies corporation, capable of running up to 48 flow cells and producing up to 7.6 Tb of data per run. The sequencer produces real-time results and utilizes Nanopore technology, with each flow cell allowing up to 3,000 nanopores to be sequencing simultaneously"
,"Liquid chromatography instrument,OBI:0001139",A chromatography device that dissolves a mixture in liquid mobile phase to separate the analyte to be measured from other molecules in the mixture and allows it to be isolated
,"Mass spectrometer,OBI:0000049","A mass spectrometer is an instrument which is used to measure the mass to charge ratio of ions. All mass spectrometers consist of three basic parts: an ion source, a mass analyzer, and a detector system. The stages within the mass spectrometer are: 1. Production of ions from the sample 2. Separation of ions with different masses 3. Detection of the number of ions of each mass produced 4.Collection of data to generate the mass spectrum"
,"liquid chromatography mass spectrometry platform,OBI:0000051","A liquid chromatography mass spectrometry platform is a platform that is the collection of instrument, software and reagents needed to perform a liquid chromatography mass spectrometry protocol."
,"high performance liquid chromatography instrument,OBI:0001057","A liquid chromatography instrument that consists of a reservoir of mobile phase, a pump, an injector, a separation column, and a detector. The pump (rather than gravity) provides the higher pressure required to propel the mobile phase and analyte through the densely packed column"
,"gas chromatography equipment,OBI:0000542",Any device used in a gas chromatography experiment
,"Luminex 100,OBI:0400069",The Luminex 100 is a flow_cytometer_analyser manufactured by Luminex. It is a single laser system (575 nm) with avalanche photodiodes in red and infrared and a single PMT for fluorescence. The flow chamber is a square quartz cuvette
,"Luminex 200,OBI:0400070","A Luminex_200 is a flow_cytometer_analyser manufactured by Luminex. The optical specifications are: Reporter laser: 532 nm, nominal output 10 - 15 mW, maximum 500 mW, frequency-doubled diode; mode of operation, continuous wave (CW). Classification laser: 635 nm, 9.1 __ 6%, maximum output 25 mW, diode; mode of operation, continuous wave (CW) Reporter detector: Photomultiplier tube, detection bandwidth of 565 - 585 nm Classification detector and doublet discriminator: Avalanche photo diodes with temperature compensation"
,"flow cytometer,OBI:0400044","A flow_cytometer is an instrument for counting, examining and sorting microscopic particles in suspension. It allows simultaneous multiparametric analysis of the physical and/or chemical characteristics of single cells flowing through an optical and/or electronic detection apparatus. A flow cytometer is an instrument that can be used to quantitatively measure the properties of individual cells in a flowing medium"
,"flow cytometer analyzer,OBI:0400008","An analyser is a flow_cytometer that is used to measure properties of particles (whole cells, nuclei, chromosomes, diatoms, plankton, bacteria, viruses) by moving these particles through a detection chamber. An analyser is used to collect data for analysis"
,"tandem mass spectrometer,OBI:0001088",A mass spectrometer in which ions are subjected to two or more sequential stages of analysis (which may be separated spatially or temporally) according to the quotient mass/charge
,,
,,
host,NCBI Taxonomy,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi
,"Homo sapiens,NCBI:txid9606",NCBI Taxonomy term and id 
,"Mus musculus,NCBI:txid10090",NCBI Taxonomy term and id 
,,
,,
host_body_site,Uber-Anatomy Ontology (UBERON),https://www.ebi.ac.uk/ols4/ontologies/uberon/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FUBERON_0000467?lang=en
,"vagina,UBERON:0000996","A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles[WP]"
,"mammalian vulva,UBERON:0000997",External genital organ of the female mammal
,"vagina orifice,UBERON:0012317","The median slit located inferior and posterior to the external urethral orifice in the female; the exit for menstrual flow and birth and the entrance for the penis during sexual intercourse; the size and appearance of the vaginal orifice varies inversely with that of the hymen (G. membrane), a thin fold of mucous membrane that surrounds the vaginal orifice"
,"wall of vagina,UBERON:0036523",An anatomical wall that is part of a vagina. An anatomical wall is the organ component adjacent to an organ cavity and which consists of a maximal aggregate of organ component layers.
,"fornix of vagina,UBERON:0000051","The deepest portions of the vagina, extending into the recesses created by the vaginal portion of cervix."
,"anterior fornix of vagina,UBERON:0016487",The vaginal fornix that is front of the cervix. It is close to the vesico-uterine pouch. 
,"lateral fornix of vagina,UBERON:0034963",The vaginal fornix that is to the side of the cervix. 
,"posterior fornix of vagina,UBERON:0016486",The vaginal fornix that is behind the cervix. It is close to the recto-uterine pouch.
,"ectocervix,UBERON:0012249",The part of the cervix uteri that protrudes into the vagina and is lined with stratified squamous epithelium.
,"endocervix,UBERON:0000458",The region of the opening of the uterine cervix into the uterine cavity.
,"endometrium,UBERON:0001295",The glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy.
,"upper part of vagina,UBERON:0003974",The upper third of the vagina
,"lower part of vagina,UBERON:0015243",The lower third of the vagina
,middle part of vagina,The middle third of the vagina
,"epithelium of vagina,UBERON:0001344","The epithelial layer of the vagina. An epithelium is a portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina."
,"vagina squamous epithelium,UBERON:0006923",A squamous epithelium that is part of a vagina. A squamous epithelium is an epithelium characterised by its most superficial layer consisting of squamous epithelial cells.
,"lamina propria of vagina,UBERON:0005205",A lamina propria that is part of a vagina. Lamina propria is a thin layer of loose connective tissue which lies beneath the epithelium and together with the epithelium constitutes the mucosa
,"mucosa of vagina,UBERON:0004983","A mucosa that is part of a vagina. A mucosa is a lining of mostly endodermal origin, covered in epithelium, which is involved in absorption and secretion. They line various body cavities that are exposed to the external environment and internal organs."
,"rugal fold of vagina,UBERON:0008798","A rugal fold that is part of a vagina. A rugal fold is a ridge or fold, such as the rugae of the stomach, which are large folds in the mucous membrane of that organ."
,"lumen of vagina,UBERON:0011894",An organ cavity that is part of a vagina
,"lateral vaginal canal,UBERON:0013523",One of two lateral tracts connecting a uterus to a common median tract separated from the median vagina via ureters which prevent their fusion. Found in marsupials
,"median vaginal canal,UBERON:0013524","A median canal in the reproductive system of marsupials that connects the uteri to a common tract, joining with the two lateral vaginas. Connects the uterine openings directly with the urogenital sinus"
,"muscular layer of vagina,UBERON:0006652",A layer of smooth muscle with bundles of circular fibers internal to longitudinal fibers (those that run lengthwise). (https://en.wikipedia.org/wiki/Vagina)
,"vagina sebaceous gland,UBERON:0003485","A sebaceous gland that is part of a vagina. A sebaceous gland is a holocrine gland that secretes sebum into the hair follicles, or in hairless areas into ducts."
,"vagina smooth muscle,UBERON:0004223","A portion of smooth muscle tissue that is part of a vagina. A smooth muscle tissue is the muscle tissue which is unstriated, composed primarily of smooth muscle fibers surrounded by a reticulum of collagen and elastic fibers"
,"vaginal hymen,UBERON:0001346",A membrane that surrounds or partially covers the vaginal opening
,"vaginal sphincter,UBERON:0012487","A sphincter muscle that is part of a vagina. A sphincter muscle is usually a circular muscle, that normally maintains constriction of a natural body passage or orifice and which relaxes as required by normal physiological functioning."
,"vaginal vein,UBERON:0001319","One the veins that drains the vaginal venous plexus, into the hypogastric veins. A venous plexus is a congregation of multiple veins."
,"vaginal venous plexus,UBERON:0001472","The vaginal plexuses are placed at the sides of the vagina; they communicate with the uterine, vesical, and hemorrhoidal plexuses, and are drained by the vaginal veins, one on either side, into the hypogastric veins. "
,,
race,,"A social classification based primarily on physical characteristics such as skin color, facial features, or hair texture"
,Black,
,White,
,Asian,
,,
ethnicity,,"A category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area. https://en.wikipedia.org/wiki/List_of_contemporary_ethnic_groups"
,Hispanic/Latino,
,Not Hispanic/Latino,
,,
null value,,Terms to be used for mandatory fields when the required information is missing or does not apply.
,Not Applicable,"For conditional mandatory fields, where conditions are not met"
,Not Available,Information not available
