Keyword	Description
timepoint_numeric	The time elapsed from the start of the experiment till the sample collection (for longitudinal studies) . The value is recorded as an integer, with the corresponding unit specified separately in timepoint_numeric_units (e.g., if the timepoint is “20 weeks”, enter timepoint_numeric = 20 and timepoint_numeric_units = weeks).
timepoint_numeric_units	The unit of measurement associated with timepoint_numeric, in the format of hours, days, weeks, months etc.
nugent_score	Nugent score in the range of 0-10; The Nugent Score is a Gram stain scoring system for vaginal swabs to diagnose bacterial vaginosis.
nugent_class	The Nugent class based on Nugent score   0-3 - negative for BV (NO_BV),  4-6 - indeterminate for bacterial vaginosis (INTER_BV) ,  7-10 - indicative of BV (BV); indicative of the absence of lactobacilli and a relative predominance of G. vaginalis and Mobiluncus spp
associated_resource	A related resource that is referenced, cited, or otherwise associated with the sequence.
sop	Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences
date_lmp	Date of LMP (Last Menstrual Period) in the format of YYYY-MM-DD
date_usg	Date on which the USG-based dating of pregnancy was done, in the format of YYYY-MM-DD
vdt_enr	Date of enrollment, in the format of YYYY-MM-DD
pregnancy	Date due of pregnancy,calculated at the time of enrollment in the format of YYYY-MM-DD
taxonomies	Name and NCBI taxon ID of the host from which the sample was obtained
source_subject_id	A unique identifier for the subject, assigned by the lab
sbj_id	A unique identifier by which each subject can be referred to, de-identified
pregnancy_status	Pregnancy status of the host -  pregnant or not pregnant
pregnancy_id	A numerical identifier representing the sequence number of a current pregnancy. This identifier starts at 1 for the first pregnancy and increments by 1 for each subsequent pregnancy.
host_age	Age of host,in years, at the time of sampling
host_age_group	Host age categorized into bins of 10 years
host_sex	Gender or physical sex of the host.
anatomies	UBERON term and ID of the body site from where the sample was obtained
host_body_product	UBERON term and ID of the substance produced by the body
host_genotype	Observed genotype
host_phenotype	Phenotype of human or other host. 
sexual_act	Current sexual partner and frequency of sex
douche	Date of most recent douche in the format of YYYY-MM-DD
birth_control	Specification of birth control medication used
menopause	Date of onset of menopause in the format of YYYY-MM-DD
hrt	Whether subject had hormone replacement therapy, and if yes, start date in the format of YYYY-MM-DD
hysterectomy	Specification of whether hysterectomy was performed
vaginal_pH	The pH level of vagina
host_tot_mass	Total mass of the host at collection, the unit depends on host
host_height	The height of subject
host_body_mass_index	Body mass index, calculated as weight/(height)squared
host_pulse	Resting pulse, measured as beats per minute
sbp	Systolic blood pressure of the participant at current antenatal visit 
dbp	Diastolic blood pressure of the participant at current antenatal visit 
hemo	Measurement of hemoglobin concentration
hba1c	Hemoglobin A1c measurement
crp	C-reactive protein measurement
agp	alpha-1-acid glycoprotein measurement
ca	plasma total calcium concentration measurement
fer	blood ferritin measurement
bun	serum urea nitrogen measurement
scr	serum creatinine measurement
ast	serum glutamic-oxaloacetic transaminase measurement
alb	serum albumin measurement
tsh	Thyroid-Stimulating Hormone measurement
rpr	rapid plasma reagin measurement
sflt	soluble fms-like tyrosine kinase-1 measurement
plgf	placental growth factor
pappa	pregnancy-associated plasma protein-A measurement
vegf	vascular endothelial growth factor
HIV_status	Result of HIV serological test
malaria	Result of malaria test conducted by RDT or smear
chron_htn	If the participant has a history of hypertension outside of pregnancy
htn_visit	If the participant had hypertension during the entire pregnancy
diabetes	If the participant has a history of diabetes outside of pregnancy
tb	If the participant has a history of tuberculosis
thyroid	If the participant has a history of hyper- or hypo-thyroidism
epilepsy	If the participant has a history of eplilepsy
host_body_temp	Core body temperature of the host when sample was collected
medic_hist_perform	Whether full medical history was collected
sniff_toba	If the participant has ever sniffed or chewed tobacco
sniff_freq	If the participant has ever sniffed or chewed tobacco, the frequency per week
smoke_hist	Smoking history of the participant
passive_smok	If the participant has lived or currently lives with people who smoke in an enclosed area/room in their presence
alcohol_freq	If the participant drinks alcohol, the average number of units consumed per week (1 unit = small glass (125 ml) of wine or one bottle/can (330 ml) of beer)
vag_bleed	If any vaginal bleeding reported by the participant since last visit
swell_ankle	If any swelling in the ankle of the participant
syphilis	Result of Syphilis testing at enrollment
udip_prot	Semi quantitative urine test strip analysis
gravidity	Total number of times the participant has been pregnant, including the current pregnancy
parity	Number of pregnancies the participant has carried to at least 24 weeks
prev_mis	Number of previous pregnancies the participant has had that ended before 6 months
prev_sb	If the participant has ever had stillbirth at a previous delivery
prev_sb_no	Number of previous deliveries the participant has had of a stillborn child 
prev_lb	Number of deliveries the participant has had of a live child
prev_ptb	If the participant has ever had a baby that was born preterm (<37 weeks GA)
prev_ptb_no	Number of previous pregnancies the pariticipant has had that ended before term  (<37 weeks GA)
prev_ptb_multi	Number of previous pre-term births  (<37 weeks GA) in which the participant had more than 1 baby
prev_multip	If the participant delivered twins or triplets in any of her previous pregnancies
prev_cs	If the participant had a caesarean section in any of the previous pregnancies
alive_child	Number of living children the participant has
birth_interval	Interval between the participant's previous pregnancy outcome and the last menstrual period for the current pregnancy
race	A category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area
host_occupation	Occupation of the participant - if employed or not
host_education	Total number of years of completed schooling/education of the participant
hus_education	Total number of years of completed schooling /education of the participant's husband
fmly_memb	Number of family members who share the same kitchen, usually sleeping under the same roof or spending from the same purse
typ_house	Type of house the participant resides in :  Pucca: Floor= Finished/cement; Roof= slate/tile/asbestos; Walls= cement/finished;   Kutcha: Floor= Mud/clay/rudimentary; Roof= Thatch/mud Walls= Mud/rudimentary
rooms_house	Number of rooms in the participant's home that are used for sleeping
hh_electricity	If the participant's household has electricity supply
fuel_for_cook	Type of fuel primarily used for cooking in the participant's household
drinking_source	Main source of drinking water for members of the participant's household
toilet	Type of toilet facilities typically used by members of the participant's household
wealth_index	Wealth Index (quintiles) calculated from assets data using PCA
gestational_age_intg	Gestational age assessed using INTERGROWTH-21st formula.
gestational_age_hdlk	Gestational age assessed using Hadlock formula.
gestational_age_lmp	Gestational age calculated from the date of last normal menstrual period 
spont_labour	If labour initiated on its own (spontaneous) or was it initiated by a provider
labour_aug	If  labour was augmented with oxytocin
labour_fever	If the participant had a fever in labour
labour_htn	If the participant had a diagnosis of hypertension during labour
fundal_height	Symphysis-fundal height at AN visits
crl	Crown- rump length of fetus (if gestation is < 14 weeks)
hc	Head circumference of fetus (if gestation is >=14 weeks)
ac	Abdominal circumference of fetus (if gestation is >=14 weeks)
bpd	Bi-parietal diameter of fetus (if gestation is >=14 weeks)
fl	Femur length of fetus  (if gestation is >=14 weeks)
num_fetus	Number of fetuses as identified in the scan
fetal_anomalies	If any fetal anomalies were detected during pregnancy
erly_ptb	If participant had early preterm birth (baby born between 24 and 34 weeks)
sPTB/preterm	Delivery status if participant had preterm birth
